#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.346955E-05   0.198936E+08   0.198936E+08   0.265232E+08   0.265232E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.178925E+01
   0.358709E-05   0.198936E+08   0.198936E+08   0.265231E+08   0.265231E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.184987E+01
   0.370862E-05   0.198936E+08   0.198936E+08   0.265230E+08   0.265229E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.191254E+01
   0.383426E-05   0.198936E+08   0.198936E+08   0.265229E+08   0.265228E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.197733E+01
   0.396416E-05   0.198936E+08   0.198936E+08   0.265227E+08   0.265227E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.204432E+01
   0.409847E-05   0.198936E+08   0.198936E+08   0.265226E+08   0.265225E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.211357E+01
   0.423732E-05   0.198936E+08   0.198936E+08   0.265224E+08   0.265224E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.218517E+01
   0.438088E-05   0.198936E+08   0.198936E+08   0.265223E+08   0.265222E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.225920E+01
   0.452930E-05   0.198936E+08   0.198936E+08   0.265221E+08   0.265221E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.233574E+01
   0.468274E-05   0.198936E+08   0.198936E+08   0.265219E+08   0.265219E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.241486E+01
   0.484139E-05   0.198936E+08   0.198936E+08   0.265217E+08   0.265217E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.249667E+01
   0.500541E-05   0.198936E+08   0.198936E+08   0.265215E+08   0.265215E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.258125E+01
   0.517499E-05   0.198936E+08   0.198936E+08   0.265213E+08   0.265212E+08   0.198943E+08   0.198936E+08   0.198936E+08   0.198982E+08  -0.470928E+00   0.103862E+08   0.103862E+08   0.266870E+01
