#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.346812E-05   0.198936E+08   0.198936E+08   0.265233E+08   0.265233E+08   0.198938E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.179012E+01
   0.358556E-05   0.198936E+08   0.198936E+08   0.265232E+08   0.265232E+08   0.198938E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.185074E+01
   0.370697E-05   0.198936E+08   0.198936E+08   0.265231E+08   0.265230E+08   0.198938E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.191341E+01
   0.383250E-05   0.198936E+08   0.198936E+08   0.265230E+08   0.265229E+08   0.198938E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.197820E+01
   0.396228E-05   0.198936E+08   0.198936E+08   0.265228E+08   0.265228E+08   0.198938E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.204518E+01
   0.409646E-05   0.198936E+08   0.198936E+08   0.265227E+08   0.265226E+08   0.198938E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.211443E+01
   0.423517E-05   0.198936E+08   0.198936E+08   0.265225E+08   0.265225E+08   0.198938E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.218603E+01
   0.437859E-05   0.198936E+08   0.198936E+08   0.265224E+08   0.265223E+08   0.198938E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.226005E+01
   0.452686E-05   0.198936E+08   0.198936E+08   0.265222E+08   0.265222E+08   0.198938E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.233658E+01
   0.468015E-05   0.198936E+08   0.198936E+08   0.265220E+08   0.265220E+08   0.198938E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.241570E+01
   0.483864E-05   0.198936E+08   0.198936E+08   0.265218E+08   0.265218E+08   0.198938E+08   0.198936E+08   0.198936E+08   0.198983E+08  -0.470926E+00   0.103862E+08   0.103862E+08   0.249749E+01
